blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
12788893,1625691121,100000000000000000000000000,101796518705948507700000000,388369304879874460114988,98658242157273116126123972,0.031809572926229546,false
12788937,1625691165,100000000000000000000000000,101796518705948507700000000,388286298390446783907659,98645256247135790641020766,0.03194540293876735,false
12788981,1625691209,100000000000000000000000000,101796518705948507700000000,388203681178035595140426,98632341984051370126569427,0.03208051900875253,false
12789025,1625691253,100000000000000000000000000,101796518705948507700000000,388121452743060176176683,98619499282270122907734890,0.032214921458737944,false
12789069,1625691297,100000000000000000000000000,101796518705948507700000000,388039612588844707002833,98606728056572582238843011,0.032348610609469475,false
12789113,1625691341,100000000000000000000000000,101796518705948507700000000,387958160221609908779414,98594028222268078404424733,0.032481586779889104,false
12789157,1625691385,100000000000000000000000000,101796518705948507700000000,387877095150464745022891,98581399695193281640319323,0.032613850287134705,false
12789201,1625691429,100000000000000000000000000,101796518705948507700000000,387796416887398180145628,98568842391710754697792863,0.0327454014465447,false
12789245,1625691473,100000000000000000000000000,101796518705948507700000000,387716124947270995083757,98556356228707516810994208,0.03287624057165783,false
12789289,1625691517,100000000000000000000000000,101796518705948507700000000,387636218847807659744876,98543941123593616977582082,0.033006367974216744,false
12789333,1625691561,100000000000000000000000000,101796518705948507700000000,387556698109588262009636,98531596994300718103205798,0.03313578396416972,false
12789377,1625691605,100000000000000000000000000,101796518705948507700000000,387477562256040493023483,98519323759280691301254001,0.033264488849672036,false
12789421,1625691649,100000000000000000000000000,101796518705948507700000000,387398810813431688516922,98507121337504220072088024,0.033392482937088186,false
12789465,1625691693,100000000000000000000000000,101796518705948507700000000,387320443310860925894839,98494989648459414875722057,0.03351976653099453,false
12789509,1625691737,100000000000000000000000000,101796518705948507700000000,387242459280251176837492,98482928612150437606440791,0.03364633993418087,false
12789553,1625691781,100000000000000000000000000,101796518705948507700000000,387164858256341515157934,98470938149096136278164884,0.033772203447651306,false
12789597,1625691825,100000000000000000000000000,101796518705948507700000000,387087639776679379662656,98459018180328689754589582,0.03389735737062849,false
12789641,1625691869,100000000000000000000000000,101796518705948507700000000,387010803381612891764389,98447168627392261803074784,0.0340218020005536,false
12789685,1625691913,100000000000000000000000000,101796518705948507700000000,386934348614283227597986,98435389412341666113315308,0.034145537633088585,false
12789729,1625691957,100000000000000000000000000,101796518705948507700000000,386858275020617044392420,98423680457741040015853015,0.03426856456211902,false
12789773,1625692001,100000000000000000000000000,101796518705948507700000000,386782582149318960853922,98412041686662529024603903,0.03439088307975502,false
